ID,Smiles,AXp-2d,BCUTdv-1l,BCUTZ-1h,SpMax_A,BCUTd-1h,AETA_eta_F,BCUTZ-1l,Xc-5dv,BCUTs-1h,BCUTd-1l,Toxic
288,NCC1CCC(CC1)C(O)=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,0.3166479159906921,1.8816375922997388,8.02863244946365,2.2508745945255444,3.122829353092839,0.3433670190447425,5.782625983768941,0.0263523138347364,7.008290084533967,0.9729427337915124,1
393,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0.271284707735669,0.9936778318842888,9.004069784972401,2.578523344319988,3.3266304239518667,0.9791793264601416,5.669237088151576,0.1930862714179624,8.001920392127602,0.972690827040726,1
100,NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,0.309968900273131,0.5598373362801576,16.101026310421886,2.4149311753403704,3.1942726343955554,1.4446264048211048,5.693373181370942,0.2192821628718894,7.019256458100724,0.9714655096683832,0
208,[O-]C(=O)P([O-])([O-])=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0.3911917713515211,0.5408416450049383,15.01085792719759,2.1753277471610755,4.03245120459926,0.7294258889300526,5.971204749673691,0.0467309473787617,8.004938197235706,0.9718896348172924,1
481,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0.3037708922311227,0.9871316710686716,8.028175829237819,2.4850684584755904,4.024523732984047,1.0541876618168478,5.694102609840991,0.1660666066522287,7.012642795283561,0.977197505620538,1
193,OC(=O)C1=CC(=CC=C1O)C1=CC=C(F)C=C1F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.2969500131615629,2.828056530142836,9.005163767857512,2.399750182497896,3.2153919977415018,1.056796027018851,5.674738352881942,0.0716148376548187,8.002960042298042,0.9728450967049264,1
18,FCOC(C(F)(F)F)C(F)(F)F                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0.3572536352897035,1.9950820584401905,9.017816598419373,2.364870977884402,4.0327363320189935,0.7967941522304773,5.850983917647062,0.0505076272276105,8.01116669938626,0.9871389690851896,1
327,NC(=O)N[C@@H](CCC(O)=O)C(O)=O                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0.3736561880707988,1.8931648647391288,8.031412546174549,2.184676133663876,3.123487356135791,0.7672398563909149,5.820536594938002,0.0186338998124982,7.010467034100306,0.971465383847686,0
516,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=C(O1)C=CC=C2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.270801658310059,0.9966232906142294,8.022983955291796,2.46783887908829,3.24645602801483,1.0583391890152145,5.680050337775067,0.1289730864987632,7.008272378800056,0.9779357148728324,1
295,CCN(CC)C(C)C(=O)C1=CC=CC=C1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0.299626307655892,0.9872569003884872,8.021953171449962,2.3072503713482138,3.1819274883271507,0.6498855872250962,5.693511507902434,0.1105438913044864,7.00826743979078,0.9778719771112376,0
